Código , Descripción,2007 R/,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018 P/,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exportaciones totales,237 809 739,257 967 775,198 234 124,258 504 747,299 732 519,320 014 185,329 562 705,347 559 681,337 170 195,324 901 420,351 726 061,387 442 789,,,,,,,,,,,,,,,,
21,Minería,40 424 823,44 837 654,27 847 683,39 382 952,55 227 296,53 527 127,47 957 954,41 394 687,23 885 449,21 506 016,26 737 898,34 817 198,,,,,,,,,,,,,,,,
211,Extracción de petróleo y gas,37 937 177,43 341 543,25 614 038,35 918 514,49 380 594,46 852 355,42 711 655,35 638 479,18 451 052,15 582 293,20 023 475,26 482 792,,,,,,,,,,,,,,,,
212,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",2 487 646,1 496 111,2 233 646,3 464 438,5 846 702,6 674 772,5 246 298,5 756 208,5 434 397,5 923 723,6 714 424,8 334 406,,,,,,,,,,,,,,,,
31-33,Industrias manufactureras,197 384 916,213 130 122,170 386 440,219 121 795,244 505 223,266 487 057,281 604 752,306 164 994,313 284 746,303 395 403,324 988 163,352 625 591,,,,,,,,,,,,,,,,
311,Industria alimentaria,3 935 451,4 882 763,4 874 129,5 389 584,6 807 633,6 676 945,7 201 756,7 088 789,8 547 054,8 439 965,9 000 795,9 244 437,,,,,,,,,,,,,,,,
312,Industria de las bebidas y el tabaco,1 548 483,1 933 800,1 781 097,1 952 403,1 995 881,2 272 922,3 180 816,4 117 989,4 036 525,3 960 137,5 098 247,5 642 275,,,,,,,,,,,,,,,,
313,Fabricación de insumos textiles y acabado de textiles, 644 386, 628 500, 491 389, 652 416, 696 011, 654 862, 654 908, 726 664, 726 103, 618 479, 694 784, 701 279,,,,,,,,,,,,,,,,
314,"Fabricación de productos textiles, excepto prendas de vestir", 539 354, 541 893, 523 808, 462 733, 437 478, 467 147, 479 475, 508 727, 551 781, 527 259, 493 444, 487 992,,,,,,,,,,,,,,,,
315,Fabricación de prendas de vestir,4 561 989,4 351 336,3 645 987,4 080 034,3 818 652,3 651 493,3 641 938,3 670 362,3 494 158,3 220 215,3 053 311,3 214 719,,,,,,,,,,,,,,,,
316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos", 677 730, 614 350, 647 863, 788 005, 780 136,1 000 167, 971 039, 985 659,1 009 169, 903 413, 853 239, 859 752,,,,,,,,,,,,,,,,
321,Industria de la madera, 217 779, 201 663, 194 731, 210 859, 198 062, 131 572, 157 600, 141 973, 154 540, 155 112, 211 317, 237 274,,,,,,,,,,,,,,,,
322,Industria del papel, 971 600, 989 240, 878 391,1 023 973,1 028 638,1 027 584,1 101 417,1 218 506,1 268 170,1 282 009,1 629 402,1 708 109,,,,,,,,,,,,,,,,
323,Impresión e industrias conexas, 262 914, 363 990, 374 128, 439 171, 456 502, 537 295, 639 791, 613 567,1 069 221,1 077 349, 703 490, 736 747,,,,,,,,,,,,,,,,
324,Fabricación de productos derivados del petróleo y del carbón,2 212 037,5 271 078,3 317 565,3 052 103,3 474 569,2 764 575,3 544 983,3 616 711,1 838 537,1 975 445,2 057 448,2 375 707,,,,,,,,,,,,,,,,
325,Industria química,9 716 412,10 195 897,8 657 542,10 722 315,13 144 885,12 857 479,12 976 400,13 225 714,12 176 709,9 445 672,10 536 755,11 131 444,,,,,,,,,,,,,,,,
326,Industria del plástico y del hule,3 660 866,4 007 081,3 723 823,4 944 187,5 669 019,6 630 472,7 096 230,8 966 497,8 675 542,8 838 125,9 000 957,9 595 186,,,,,,,,,,,,,,,,
327,Fabricación de productos a base de minerales no metálicos,1 906 123,2 178 317,1 790 300,2 025 417,2 240 629,2 494 461,2 833 813,3 094 098,3 194 350,2 981 173,2 811 625,3 077 249,,,,,,,,,,,,,,,,
331,Industrias metálicas básicas,9 132 622,9 551 657,6 545 810,9 163 801,12 976 873,13 182 156,11 665 280,10 465 656,9 051 706,8 565 300,8 837 777,9 615 662,,,,,,,,,,,,,,,,
332,Fabricación de productos metálicos,5 642 370,6 342 125,4 953 627,5 949 765,6 442 405,7 122 278,7 095 293,7 406 409,8 152 448,7 836 017,7 689 895,8 619 761,,,,,,,,,,,,,,,,
333,Fabricación de maquinaria y equipo,7 686 277,7 812 792,5 369 214,7 816 159,11 004 078,11 804 054,12 353 767,13 261 851,14 594 449,14 272 877,15 912 271,17 406 082,,,,,,,,,,,,,,,,
334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",59 714 324,63 527 613,53 396 842,64 374 128,61 458 939,66 167 482,66 448 910,66 515 690,62 509 842,58 350 566,62 157 227,64 514 362,,,,,,,,,,,,,,,,
335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",14 066 601,15 888 319,12 881 724,15 048 151,14 493 699,16 059 583,16 437 677,18 769 016,21 078 632,21 379 121,22 310 486,23 289 177,,,,,,,,,,,,,,,,
336,Fabricación de equipo de transporte,60 951 509,63 880 640,46 739 643,69 734 777,84 491 838,97 561 577,108 231 590,125 055 419,133 678 421,131 952 711,144 720 771,161 698 606,,,,,,,,,,,,,,,,
337,"Fabricación de muebles, colchones y persianas",1 318 528,1 338 499,1 132 310,1 308 562,1 352 159,1 496 434,1 764 054,1 863 327,2 044 607,2 035 044,2 191 246,2 295 408,,,,,,,,,,,,,,,,
339,Otras industrias manufactureras,8 017 562,8 628 569,8 466 516,9 983 251,11 537 138,11 926 523,13 128 013,14 852 372,15 432 782,15 579 412,15 023 676,16 174 364,,,,,,,,,,,,,,,,
"Nota: El desglose de subsectores dependerá de la existencia de la actividad económica en la entidad respectiva y de la aplicación del principio de confidencialidad.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La suma de los parciales puede no coincidir con el total debido al redondeo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R/ Resultados revisados a partir de la fecha que se indica, lo anterior debido a la actualización de la metodología de cálculo derivado de la incorporación del Registro Estadístico de Negocios de México (RENEM) y la Encuesta Mensual de la Industria Manufacturera como fuentes estadísticas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P/ cifras preliminares a partir de la fecha que se indica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Exportaciones Trimestrales por Entidad Federativa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
